keywords
"['pardavimų', 'vadybininkas', 'pardavimų vadybininkas', 'vadybininkė', 'pardavimų vadybininkė', 'KAM', 'Key account manager', 'personalo', 'atrankų', 'pardavimai', 'paslaugų', 'paslaugų pardavimai', 'klientų aparnavimas', 'account manager', 'manager']"
['administratorė']
"['brangakmenių specialistas', 'Vilnius', 'Lietuvos prabavimo rūmai', 'Juvelyras', 'juvelyrė']"
"['brangakmenių specialistas', 'Vilnius', 'Lietuvos prabavimo rūmai', 'Juvelyras', 'juvelyrė']"
"['Pardavimų vadybininkas', 'Klientų vadybininkas', 'klientų aptarnavimas', 'vadybininkas', 'Klaipėda', 'Hilti complete systems', 'klientų aptranavimo vadybininkas']"

[]
[]
"['Projektų koordinatorius', 'Koordinatorius', 'projektų vadovas', 'projektai', 'koordinavimas', 'Vilnius', 'NSA', 'Nacionalinė sporto Agentūra', 'infrastruktūra']"
"['Fashion', 'textiles', 'customer support']"
[]
"['Sandėlio darbuotojas', 'vilnius']"
"['pardavėja', 'pardavimai', 'vadybininkas', 'konsultantas', 'konsukltavimas', 'aptarnavimas', 'vadyba', 'administravimas', 'Ilzenbergo Dvaras']"
[]
[]
[]
[]
[]

"['GRUNDFOS Pumps Baltic', 'Front Line Representative', 'Customer Service']"

"['Software Engineering Manager', 'Software Engineer', 'C#', '.NET', 'JavaScript', 'HTML', 'HTML5', 'CSS', 'ASP.net', 'SQL', 'SSIS', 'SSRS', 'Visual Studio', 'TFS', 'GIT', 'CI/CD', 'Engineering', 'Management']"
[]
[]
"['IT', 'engineer', 'services', 'manager']"
[]
"['risk manager', 'credit risk manager', 'credit risk']"
"['risk manager', 'credit risk manager', 'credit risk']"
"['Kėbulo remontas', 'Kėbulo remonto specialistas']"
[]
['krovejas']
['konditeris']
[]
['fasuotojas']



"['vynas', 'alkoholis', 'gėrimai', 'biuras', 'elektroninė prekyba', 'administravimas']"
"['Accounting', 'Finance', 'invoices', 'Microsoft Dynamics NAV', 'NAV', 'Business trips']"


['sales; KAM']











[]
"['vaistininkas', 'medicina', 'farmacininkas', 'farmakotechnikas']"
"['SALES PERSON', 'SALES SPECIALIST']"
[]
[]
[]
"['DevOps', 'Cloud Platform', 'Engineer', 'Kaunas', 'Remote', 'Cloud', 'Platform', 'Azure', 'Azure DevOps', 'Ansible', 'Terraform']"
[]
[]
"['grąžinamų', 'užsakymų', 'administratorius']"
"['IT', 'AUDITAS', 'IT AUDITAS', 'LIETUVOS BANKAS', 'LB', 'BANKAS', 'VILNIUS', 'COBIT', 'ITIL', 'ISO', 'RPA', 'VBA', 'CAAT', 'CISA']"


['mokymai']

"['Silpnos srovės', 'Inžinierius', 'Pastatų silpnų srovių inžinierius', 'Silpnų srovių inžinierius']"
[]
[]
[]
[]
[]
[]
[]
"['IT SECURITY', 'cyber security', 'ITOS', 'CompTIA Security+']"
[]
"['travel coordinator', 'travel', 'getjetairlines', 'coordinator', 'koordinatorius', 'turizmas', 'kelionių koordinatorius', 'kelionės']"
[]
[]
[]
[]
"['Risk', 'RiskManagement']"
[]
"['PARDAVĖJAS', 'VILNIUS', 'KASININKAS', 'SALĖS DARBUOTOJAS']"
"['PARDAVĖJAS', 'VILNIUS', 'KASININKAS', 'SALĖS DARBUOTOJAS']"
"['PARDAVĖJAS', 'SALĖS DARBUOTOJAS', 'KASININKAS']"


[]
[]
[]
[]
"['motion', 'dizaineris', 'dizainerė']"
"['asistentas', 'asistentė', 'rinkodara']"
[]
"['Alliance', 'recruitment', 'UAB']"











[]
[]
['sales darbuotojas']
"['PARDAVĖJAS', 'SALĖS DARBUOTOJAS', 'KASININKAS']"
